success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,random_id,task_order,participant,rt,stimulus,response,task_type,correct_response,correct_response_key,css_classes,size_condition,choices,correct,prompt_text,slider_start,Q0,Q1,Q2,Q3,file_name
TRUE,FALSE,[],[],[],preload,0,2.0.0,147,p029ley7ors,small_first,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
NA,NA,NA,NA,NA,html-keyboard-response,1,2.0.0,2209,p029ley7ors,small_first,duck,2061,"
    <h1>Welcome to the experiment!</h1>
    <p>Press any key to begin</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
TRUE,NA,NA,NA,NA,fullscreen,2,2.1.0,4237,p029ley7ors,small_first,duck,1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
NA,NA,NA,NA,NA,survey-text,3,2.1.0,7035,p029ley7ors,small_first,duck,2781,NA,"{""participant_id"":""duck""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
NA,NA,NA,NA,NA,html-keyboard-response,4,2.0.0,43297,p029ley7ors,small_first,duck,36261,"
      <h1>Instructions</h1>
      <p>In this experiment, you will see 2 images of real world objects on each trial.
      <br>Your task is to determine which image appears larger or smaller on the screen.
      <br>Please respond as quickly and accurately as possible.
      <br>
      <br>You will be asked to complete <strong>2</strong> blocks of trials:
      <br>1. Larger image block (select the image that appears larger)
      <br>2. Smaller image block (select the image that appears smaller)
      <br>
      <br>Each block will contain practice trials with feedback, followed by actual trials without feedback.
      <br>Each trial will begin with a fixation cross (<strong>+</strong>), followed by the images, and feedback if applicable.
      <br>
      <br>To respond, you will press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>Before starting, place your <strong>left</strong> index finger on <strong>z</strong> and <strong>right</strong> index finger on <strong>m</strong>.
      <br>
      <br><i>Press any key to begin.</i>
      </p>
",z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
NA,NA,NA,NA,NA,html-keyboard-response,5,2.0.0,55689,p029ley7ors,small_first,duck,12390,"
      <h1>Now you will complete the practice trial.</h1>
      <br>You will complete one practice trial and receive feedback.
      <br>If your response is incorrect, you would repeat the trial until correct.
      <br>
      <br>Instruction on which size to pick will appear on the next screen.
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>
      <br><i>Press any key to continue.</i>
",m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
NA,NA,NA,NA,NA,html-keyboard-response,6,2.0.0,59993,p029ley7ors,small_first,duck,4303,"
      <h1>Which is visually <strong>smaller</strong> on the screen?</h1>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br><i>Press any key to continue.</i>
",m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
NA,NA,NA,NA,NA,html-keyboard-response,7,2.0.0,60696,p029ley7ors,small_first,duck,null,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
NA,NA,NA,NA,NA,image-keyboard-response,8,2.0.0,61531,p029ley7ors,small_first,duck,827,stimuli/1-Incongruent.jpg,z,incongruent_small,left,z,normal,small,z,TRUE,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
NA,NA,NA,NA,NA,html-keyboard-response,9,2.0.0,62534,p029ley7ors,small_first,duck,null,<p style='color:green; font-size: 48px;'>That is correct!</p>,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
NA,NA,NA,NA,NA,html-keyboard-response,10,2.0.0,64195,p029ley7ors,small_first,duck,1659,"
      <h1>Now you will begin the actual trials.</h1>  
      <p><i>Press any key to continue.</p></i>
",m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_size_stroop/analysis/../data/raw_data/p029ley7ors_1772141761118.csv
