"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","task_order","participant","rt","stimulus","response","task_type","correct_response","correct_response_key","css_classes","size_condition","choices","correct","prompt_text","slider_start","Q0","Q1","Q2","Q3"
"true","false","[]","[]","[]","preload","0","2.0.0","3581","pcn1qclhe2q","small_first","whale","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","11185","pcn1qclhe2q","small_first","whale","7601","
    <h1>Welcome to the experiment!</h1>
    <p>Press any key to begin</p>
    "," ","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.1.0","14009","pcn1qclhe2q","small_first","whale","1809","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","2.1.0","21781","pcn1qclhe2q","small_first","whale","7767","","{""participant_id"":""whale""}","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","41281","pcn1qclhe2q","small_first","whale","19498"," 
      <h1>Instructions</h1>
      <p>In this experiment, you will see 2 images of real world objects on each trial.
      <br>Your task is to determine which image appears larger or smaller on the screen.
      <br>Please respond as quickly and accurately as possible.
      <br>
      <br>You will be asked to complete <strong>2</strong> blocks of trials:
      <br>1. Larger image block (select the image that appears larger)
      <br>2. Smaller image block (select the image that appears smaller)
      <br>
      <br>Each block will contain practice trials with feedback, followed by actual trials without feedback.
      <br>Each trial will begin with a fixation cross (<strong>+</strong>), followed by the images, and feedback if applicable.
      <br>
      <br>To respond, you will press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>Before starting, place your <strong>left</strong> index finger on <strong>z</strong> and <strong>right</strong> index finger on <strong>m</strong>.
      <br>
      <br><i>Press any key to begin.</i>
      </p>
    "," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","43116","pcn1qclhe2q","small_first","whale","1833","
      <h1>Now you will complete the practice trial.</h1>
      <br>You will complete one practice trial and receive feedback.
      <br>If your response is incorrect, you would repeat the trial until correct.
      <br>
      <br>Instruction on which size to pick will appear on the next screen.
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>
      <br><i>Press any key to continue.</i>
    "," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","44429","pcn1qclhe2q","small_first","whale","1312","
      <h1>Which is visually <strong>smaller</strong> on the screen?</h1>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br><i>Press any key to continue.</i>
    "," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","45136","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","46249","pcn1qclhe2q","small_first","whale","1107","stimuli/1-Incongruent.jpg","m","incongruent_small","left","z","normal","small","m","false","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","47259","pcn1qclhe2q","small_first","whale","null","<p style='color:red; font-size: 48px;'>Incorrect! Try again.</p>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","47963","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","11","2.0.0","48897","pcn1qclhe2q","small_first","whale","932","stimuli/1-Incongruent.jpg","z","incongruent_small","left","z","normal","small","z","true","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","49905","pcn1qclhe2q","small_first","whale","null","<p style='color:green; font-size: 48px;'>That is correct!</p>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","51160","pcn1qclhe2q","small_first","whale","1253","
      <h1>Now you will begin the actual trials.</h1>  
      <p><i>Press any key to continue.</p></i>
    "," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","2.0.0","56049","pcn1qclhe2q","small_first","whale","4888","
      <h1>Which is visually <strong>smaller</strong> on the screen?</h1>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br><i>Press any key to continue.</i>
    "," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","56752","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","2.0.0","57617","pcn1qclhe2q","small_first","whale","863","stimuli/15-Incongruent.jpg","m","incongruent_flipped_small","right","m","cb","small","m","true","
      <h1>Which is visually <strong>SMALLER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","58324","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","19","2.0.0","59028","pcn1qclhe2q","small_first","whale","701","stimuli/15-Incongruent.jpg","z","incongruent_small","left","z","normal","small","z","true","
      <h1>Which is visually <strong>SMALLER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","59739","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","2.0.0","60237","pcn1qclhe2q","small_first","whale","495","stimuli/27-Incongruent.jpg","m","incongruent_flipped_small","right","m","cb","small","m","true","
      <h1>Which is visually <strong>SMALLER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","24","2.0.0","60947","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","25","2.0.0","61422","pcn1qclhe2q","small_first","whale","473","stimuli/10-Incongruent.jpg","z","incongruent_small","left","z","normal","small","z","true","
      <h1>Which is visually <strong>SMALLER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","27","2.0.0","62128","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","2.0.0","62973","pcn1qclhe2q","small_first","whale","844","stimuli/11-Congruent.jpg","m","congruent_small","right","m","normal","small","m","true","
      <h1>Which is visually <strong>SMALLER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","63679","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","31","2.0.0","64283","pcn1qclhe2q","small_first","whale","601","stimuli/13-Congruent.jpg","m","congruent_small","right","m","normal","small","m","true","
      <h1>Which is visually <strong>SMALLER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","33","2.0.0","64994","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","2.0.0","65773","pcn1qclhe2q","small_first","whale","777","stimuli/8-Incongruent.jpg","m","incongruent_flipped_small","right","m","cb","small","m","true","
      <h1>Which is visually <strong>SMALLER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","36","2.0.0","66487","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","37","2.0.0","67026","pcn1qclhe2q","small_first","whale","537","stimuli/10-Incongruent.jpg","m","incongruent_flipped_small","right","m","cb","small","m","true","
      <h1>Which is visually <strong>SMALLER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","39","2.0.0","67742","pcn1qclhe2q","small_first","whale","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
