"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","task_order","participant","rt","stimulus","response","task_type","correct_response","correct_response_key","css_classes","size_condition","choices","correct","prompt_text","slider_start","Q0","Q1","Q2","Q3"
"true","false","[]","[]","[]","preload","0","2.0.0","320","pq7agk28pj0","big_first","fox","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3699","pq7agk28pj0","big_first","fox","3377","
    <h1>Welcome to the experiment!</h1>
    <p>Press any key to begin</p>
    "," ","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.1.0","6102","pq7agk28pj0","big_first","fox","1399","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","2.1.0","122927","pq7agk28pj0","big_first","fox","116821","","{""participant_id"":""fox""}","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","141109","pq7agk28pj0","big_first","fox","18180"," 
      <h1>Instructions</h1>
      <p>In this experiment, you will see 2 images of real world objects on each trial.
      <br>Your task is to determine which image appears larger or smaller on the screen.
      <br>Please respond as quickly and accurately as possible.
      <br>
      <br>You will be asked to complete <strong>2</strong> blocks of trials:
      <br>1. Larger image block (select the image that appears larger)
      <br>2. Smaller image block (select the image that appears smaller)
      <br>
      <br>Each block will contain practice trials with feedback, followed by actual trials without feedback.
      <br>Each trial will begin with a fixation cross (<strong>+</strong>), followed by the images, and feedback if applicable.
      <br>
      <br>To respond, you will press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>Before starting, place your <strong>left</strong> index finger on <strong>z</strong> and <strong>right</strong> index finger on <strong>m</strong>.
      <br>
      <br><i>Press any key to begin.</i>
      </p>
    "," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","143502","pq7agk28pj0","big_first","fox","2391","
      <h1>Now you will complete the practice trial.</h1>
      <br>You will complete one practice trial and receive feedback.
      <br>If your response is incorrect, you would repeat the trial until correct.
      <br>
      <br>Instruction on which size to pick will appear on the next screen.
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>
      <br><i>Press any key to continue.</i>
    ","m","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","145257","pq7agk28pj0","big_first","fox","1754","
      <h1>Which is visually <strong>bigger</strong> on the screen?</h1>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br><i>Press any key to continue.<i>
    ","m","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","145960","pq7agk28pj0","big_first","fox","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","147002","pq7agk28pj0","big_first","fox","1038","stimuli/1-Congruent.jpg","z","congruent_big","left","z","normal","big","z","true","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","148006","pq7agk28pj0","big_first","fox","null","<p style='color:green; font-size: 48px;'>That is correct!</p>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","148563","pq7agk28pj0","big_first","fox","555","
      <h1>Now you will begin the actual trials.</h1>  
      <p><i>Press any key to continue.</p></i>
    ","m","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","149222","pq7agk28pj0","big_first","fox","657","
      <h1>Which is visually <strong>bigger</strong> on the screen?</h1>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br><i>Press any key to continue.<i>
    ","m","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","149925","pq7agk28pj0","big_first","fox","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","13","2.0.0","150233","pq7agk28pj0","big_first","fox","306","stimuli/22-Incongruent.jpg","z","incongruent_flipped_big","left","z","cb","big","z","true","
      <h1>Which is visually <strong>BIGGER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","150936","pq7agk28pj0","big_first","fox","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","2.0.0","151505","pq7agk28pj0","big_first","fox","566","stimuli/6-Congruent.jpg","m","congruent_big","left","z","normal","big","m","false","
      <h1>Which is visually <strong>BIGGER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","152508","pq7agk28pj0","big_first","fox","null","<p style='color:red; font-size: 48px;'>Incorrect!</p>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","153211","pq7agk28pj0","big_first","fox","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
