"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","correct_response","correct_response_key","css_classes","size_condition","choices","correct","slider_start"
"true","false","[]","[]","[]","preload","0","2.0.0","36","pukxay7l5kt","3332","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","144051","pukxay7l5kt","3332","144013","
    <h1>Welcome to the experiment!</h1>
    <p>Press any key to begin</p>
    ","n","","","","","","",""
"true","","","","","fullscreen","2","2.1.0","146584","pukxay7l5kt","3332","1529","","","","","","","","",""
"","","","","","survey-text","3","2.1.0","149096","pukxay7l5kt","3332","2510","","{""participant_id"":""3332""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","157261","pukxay7l5kt","3332","8163"," 
      <h1>Instructions</h1>
      <p>In this experiment, you will see 2 images of real world objects on each trial.
      <br>Your task is to determine which image appears larger or smaller on the screen.
      <br>
      <br>You will be asked to complete <strong>3</strong> blocks of trials:
      <br>
      <br>1. Practice block (get familiar with the task)
      <br>2. Larger image block (select the image that appears larger)
      <br>3. Smaller image block (select the image that appears smaller)
      <br>
      <br>Each trial will begin with a fixation cross (<strong>+</strong>), followed by the images.
      <br>
      <br>To respond, you will press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>Before starting, place your <strong>left</strong> index finger on <strong>z</strong> and <strong>right</strong> index finger on <strong>m</strong>.
      <br>Press any key to begin.
      </p>
    ","Enter","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","160407","pukxay7l5kt","3332","3145","
      <h1>Practice Trials</h1>
      <br>You will complete two practice trials and receive feedback.
      <br>
      <br>Instructions will appear on the screen. 
      <br>If your response is incorrect, you must repeat the trial until correct.
      <br>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>Press any key to continue.
    ","z","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","162466","pukxay7l5kt","3332","2057","
      <h1>Which is visually <strong>bigger</strong> on the screen?</h1>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>Press any key to continue.
    ","z","","","","","","",""
"","","","","","image-keyboard-response","7","2.0.0","163351","pukxay7l5kt","3332","883","stimuli/1-Congruent.jpg","z","left","z","normal","big","z","true",""
"","","","","","html-keyboard-response","8","2.0.0","164354","pukxay7l5kt","3332","null","<p style='color:green; font-size: 48px;'>That is correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","165101","pukxay7l5kt","3332","744","
      <h1>Which is visually <strong>smaller</strong> on the screen?</h1>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>Press any key to continue.
    ","z","","","","","","",""
"","","","","","image-keyboard-response","10","2.0.0","165918","pukxay7l5kt","3332","815","stimuli/1-Incongruent.jpg","z","left","z","normal","small","z","true",""
"","","","","","html-keyboard-response","11","2.0.0","166921","pukxay7l5kt","3332","null","<p style='color:green; font-size: 48px;'>That is correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","167797","pukxay7l5kt","3332","874","
      <h1>Now you will begin the actual trials.</h1>  
      <p>Press any key to continue.</p>
    ","m","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","168752","pukxay7l5kt","3332","953","
      <h1>Which is visually <strong>bigger</strong> on the screen?</h1>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>Press any key to continue.
    ","m","","","","","","",""
"","","","","","html-keyboard-response","14","2.0.0","169455","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","15","2.0.0","170092","pukxay7l5kt","3332","635","stimuli/5-Congruent.jpg","z","left","z","normal","big","z","true",""
"","","","","","html-keyboard-response","17","2.0.0","170795","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","18","2.0.0","171526","pukxay7l5kt","3332","730","stimuli/18-Incongruent.jpg","m","right","m","normal","big","m","true",""
"","","","","","html-keyboard-response","20","2.0.0","172229","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","21","2.0.0","173005","pukxay7l5kt","3332","774","stimuli/34-Incongruent.jpg","m","right","m","normal","big","m","true",""
"","","","","","html-keyboard-response","23","2.0.0","173708","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","24","2.0.0","174518","pukxay7l5kt","3332","808","stimuli/5-Incongruent.jpg","m","right","m","normal","big","m","true",""
"","","","","","html-keyboard-response","26","2.0.0","175222","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","27","2.0.0","176437","pukxay7l5kt","3332","1213","stimuli/10-Incongruent.jpg","z","left","z","cb","big","z","true",""
"","","","","","html-keyboard-response","29","2.0.0","177139","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","30","2.0.0","177767","pukxay7l5kt","3332","626","stimuli/10-Congruent.jpg","z","left","z","normal","big","z","true",""
"","","","","","html-keyboard-response","32","2.0.0","178470","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","33","2.0.0","178612","pukxay7l5kt","3332","140","stimuli/16-Incongruent.jpg","z","left","z","cb","big","z","true",""
"","","","","","html-keyboard-response","35","2.0.0","179314","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","36","2.0.0","179834","pukxay7l5kt","3332","518","stimuli/32-Incongruent.jpg","m","right","m","normal","big","m","true",""
"","","","","","html-keyboard-response","38","2.0.0","180537","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","39","2.0.0","181166","pukxay7l5kt","3332","627","stimuli/11-Congruent.jpg","z","left","z","normal","big","z","true",""
"","","","","","html-keyboard-response","41","2.0.0","181869","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","42","2.0.0","182390","pukxay7l5kt","3332","520","stimuli/1-Incongruent.jpg","m","right","m","normal","big","m","true",""
"","","","","","html-keyboard-response","44","2.0.0","183093","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","45","2.0.0","183688","pukxay7l5kt","3332","593","stimuli/19-Congruent.jpg","z","left","z","normal","big","z","true",""
"","","","","","html-keyboard-response","47","2.0.0","184391","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","48","2.0.0","185100","pukxay7l5kt","3332","707","stimuli/15-Incongruent.jpg","m","right","m","normal","big","m","true",""
"","","","","","html-keyboard-response","50","2.0.0","185803","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","51","2.0.0","186428","pukxay7l5kt","3332","623","stimuli/36-Congruent.jpg","z","left","z","normal","big","z","true",""
"","","","","","html-keyboard-response","53","2.0.0","187131","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","54","2.0.0","187618","pukxay7l5kt","3332","486","stimuli/10-Congruent.jpg","m","right","m","cb","big","m","true",""
"","","","","","html-keyboard-response","56","2.0.0","188321","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","57","2.0.0","189224","pukxay7l5kt","3332","901","stimuli/21-Incongruent.jpg","z","left","z","cb","big","z","true",""
"","","","","","html-keyboard-response","59","2.0.0","189927","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","60","2.0.0","191899","pukxay7l5kt","3332","1971","stimuli/33-Incongruent.jpg","m","right","m","normal","big","m","true",""
"","","","","","html-keyboard-response","62","2.0.0","192603","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","63","2.0.0","194216","pukxay7l5kt","3332","1611","stimuli/16-Incongruent.jpg","m","right","m","normal","big","m","true",""
"","","","","","html-keyboard-response","65","2.0.0","194919","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","66","2.0.0","195610","pukxay7l5kt","3332","689","stimuli/19-Incongruent.jpg","z","left","z","cb","big","z","true",""
"","","","","","html-keyboard-response","68","2.0.0","196313","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","69","2.0.0","197130","pukxay7l5kt","3332","815","stimuli/28-Congruent.jpg","z","left","z","normal","big","z","true",""
"","","","","","html-keyboard-response","71","2.0.0","197832","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
