"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","task_order","participant","rt","stimulus","response","task_type","correct_response","correct_response_key","css_classes","size_condition","choices","correct","prompt_text","slider_start","Q0","Q1","Q2","Q3"
"true","false","[]","[]","[]","preload","0","2.0.0","71","pw3kspfy577","small_first","nonononono","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3427","pw3kspfy577","small_first","nonononono","3355","
    <h1>Welcome to the experiment!</h1>
    <p>Press any key to begin</p>
    ","Enter","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.1.0","5766","pw3kspfy577","small_first","nonononono","1334","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","2.1.0","10601","pw3kspfy577","small_first","nonononono","4831","","{""participant_id"":""nonononono""}","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","24530","pw3kspfy577","small_first","nonononono","13928"," 
      <h1>Instructions</h1>
      <p>In this experiment, you will see 2 images of real world objects on each trial.
      <br>Your task is to determine which image appears larger or smaller on the screen.
      <br>
      <br>You will be asked to complete <strong>2</strong> blocks of trials:
      <br>1. Larger image block (select the image that appears larger)
      <br>2. Smaller image block (select the image that appears smaller)
      <br>
      <br>Each block will contain practice trials with feedback, followed by actual trials without feedback.
      <br>Each trial will begin with a fixation cross (<strong>+</strong>), followed by the images, and feedback if applicable.
      <br>
      <br>To respond, you will press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>Before starting, place your <strong>left</strong> index finger on <strong>z</strong> and <strong>right</strong> index finger on <strong>m</strong>.
      <br>
      <br><i>Press any key to begin.</i>
      </p>
    ","Enter","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","27432","pw3kspfy577","small_first","nonononono","2900","
      <h1>Now you will complete the practice trial.</h1>
      <br>You will complete one practice trial and receive feedback.
      <br>If your response is incorrect, you would repeat the trial until correct.
      <br>
      <br>Instruction on which size to pick will appear on the next screen.
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br>
      <br><i>Press any key to continue.</i>
    ","Enter","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","29890","pw3kspfy577","small_first","nonononono","2456","
      <h1>Which is visually <strong>smaller</strong> on the screen?</h1>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br><i>Press any key to continue.</i>
    ","Enter","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","30593","pw3kspfy577","small_first","nonononono","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","31364","pw3kspfy577","small_first","nonononono","767","stimuli/1-Incongruent.jpg","z","incongruent_small","left","z","normal","small","z","true","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","32368","pw3kspfy577","small_first","nonononono","null","<p style='color:green; font-size: 48px;'>That is correct!</p>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","33634","pw3kspfy577","small_first","nonononono","1263","
      <h1>Now you will begin the actual trials.</h1>  
      <p><i>Press any key to continue.</p></i>
    ","Enter","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","35631","pw3kspfy577","small_first","nonononono","1995","
      <h1>Which is visually <strong>smaller</strong> on the screen?</h1>
      <br>Press <strong>z</strong> to choose the left image, and <strong>m</strong> to choose the right image.
      <br><i>Press any key to continue.</i>
    ","Enter","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","36334","pw3kspfy577","small_first","nonononono","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","13","2.0.0","37808","pw3kspfy577","small_first","nonononono","1470","stimuli/6-Congruent.jpg","z","congruent_small","right","m","normal","small","z","false","
      <h1>Which is visually <strong>SMALLER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","14","2.0.0","38812","pw3kspfy577","small_first","nonononono","null","<p style='color:red; font-size: 48px;'>Incorrect!</p>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","39515","pw3kspfy577","small_first","nonononono","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","2.0.0","40228","pw3kspfy577","small_first","nonononono","711","stimuli/35-Incongruent.jpg","z","incongruent_small","left","z","normal","small","z","true","
      <h1>Which is visually <strong>SMALLER</strong> on the screen?</h1>
      <p>Press <strong>z</strong> for left, <strong>m</strong> for right</p>
    ","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","40932","pw3kspfy577","small_first","nonononono","null","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","",""
